Location,Latitude,Longitude,ISO Alpha-3
USA,38.8835,-77.032,USA
China,35.8617,104.1954,CHN
Kazakhstan,48.0196,66.9237,KAZ
Japan,36.2048,138.2529,JPN
Israel,31.0461,34.8516,ISR
New Zealand,-40.9006,174.886,NZL
Russia,61.524,105.3188,RUS
Iran,32.4279,53.688,IRN
France,46.2276,2.2137,FRA
India,20.5937,78.9629,IND
North Korea,40.3399,127.5101,PRK
South Korea,35.9078,127.7669,KOR
Brazil,-14.235,-51.9253,BRA
Kenya,-0.0236,37.9062,KEN
Australia,-25.2744,133.7751,AUS
Yellow Sea,35.5986,123.9869,N/A
Pacific Ocean,0,-160,N/A
Barents Sea,75,40,N/A
Gran Canaria,28.1248,-15.43,ESP
